"auth.name","2016","2017","2018","2019","2020"
"Cardiff",51.8633347467252,55.2113892375464,54.3265765832831,58.2081008679464,166.280935833066
"Swansea",56.4595834804095,52.0376247952884,52.9832882548896,59.5140452730769,99.6271798487062
"Carmarthenshire",57.0606055999708,69.6818654474957,66.7897102744593,71.9194702913722,220.683880575802
"Neath Port Talbot",91.3967480266269,88.7825245786447,89.5541951694189,84.7405114565215,365.339227303436
"Rhondda Cynon Taf",59.8400624737044,83.1009618472753,94.777501503062,78.7572873653921,145.505362282608
"Pembrokeshire",68.0235672201393,68.8413361169102,63.046479521399,63.2445520581114,116.25
"Gwynedd",45.5823293172691,45.5691217014573,42.0837968112718,48.5364949981475,80.2256138022561
"Bridgend",73.8383679811829,78.0404992987229,83.1272335731225,81.0875642033528,164.623823007693
"Conwy",47.3287665216221,50.1279495241623,47.51604564814,48.4357887420949,105.072034753998
"Denbighshire",61.5328227782172,69.4026317906277,70.6055130425253,74.3506927794463,159.776525009266
"Powys",46.8527315914489,49.7056155994993,48.8858633964408,49.3012445101475,121.157220255246
"Caerphilly",97.4577777777778,85.8137297851808,143.849913931479,98.3229721785705,476.725357092349
"Monmouthshire",38.9948646796781,43.7065807632012,46.1641699561813,54.6782755569854,118.757284890064
"Vale of Glamorgan",82.7225130890052,93.0800542740841,87.4845105328377,85.3658536585366,111.624203821656
"Wrexham",86.0337728172862,72.9794835667251,62.2677381088471,59.2394132152973,613.261460668797
"Ceredigion",53.091649047863,53.7635448182776,54.0711025430216,50.7855388641833,422.711777234153
"Flintshire",121.251009331114,118.842549613775,55.4286538402869,60.9377684559951,1378.74413017364
"Newport",98.5274754008548,48.321540428468,72.086876155268,50.9993056231953,125.375877279531
"Merthyr Tydfil",82.9278083884353,70.3771625868172,59.088861522981,59.9265302255341,134.26381428723
"Isle of Anglesey",59.1735537190083,54.9295774647887,55.5718475073314,54.424040066778,134.980988593156
"Blaenau Gwent",2887.25,1599.66568468439,918.118734177215,1364.12733333333,1154.67
"Torfaen",580,2050,2016.66666666667,379.62962962963,421.333333333333
"Total",62.6318341809974,62.5387118527192,61.6384087897887,64.1794445542962,154.143623446205
