"auth.name","2016","2017","2018","2019","2020"
"Glasgow City",34.4107310795426,37.5584984566365,33.6426312788347,38.4998610580016,188.034300791557
"Edinburgh City",27.6675266256532,26.8368349920138,25.85819402112,26.1441221191974,34.5388518555368
"Fife",86.9051052783386,89.5222129086337,86.6806502359727,81.8,170.012019230769
"Aberdeen City",59.9626865671642,60.4382517565797,63.2990214766807,50,75.7062146892655
"Perth and Kinross",82.4440619621343,77.4883720930233,75.2397067117879,80.084388185654,187.576791808874
"Dundee City",75.9264196214343,66.7648213584609,58.715953307393,53.8461538461538,155.479059093517
"Stirling",95.4320987654321,76.3300270513976,81.421568627451,81.0735770476631,203.218116805721
"Highland",73.4986225895317,71.3904931141715,55.7210031347962,59.2537313432836,113.204951856946
"South Lanarkshire",72.108843537415,66.021978021978,67.7966101694915,70.7348517404383,391.534391534392
"Argyll and Bute",66.6666666666667,67.0152091254753,70.0251889168766,63.9767054908486,143.68932038835
"Aberdeenshire",120.696721311475,141.083521444695,138.412017167382,123.713235294118,1128.30188679245
"East Ayrshire",53.3519553072626,81.4779270633397,71.9440353460972,73.5,110.291262135922
"South Ayrshire",59.4776748104465,65.3498871331828,50.0495540138751,58.0163043478261,116.839916839917
"East Lothian",202.380952380952,101.091703056769,100.207468879668,95.8083832335329,84.6518987341772
"East Dunbartonshire",185.326086956522,158.823529411765,86.709886547812,69.6027633851468,192.276422764228
"Moray",52.463768115942,64.2011834319527,40.0916380297824,54.0478905359179,452.475247524752
"Falkirk",69.2640692640693,66.9099756690998,61.2476370510397,55.699481865285,151.170568561873
"Renfrewshire",27.4714828897338,41.5279138099902,53.3333333333333,50.1683501683502,183.408071748879
"Scottish Borders",224.137931034483,234.545454545455,179.032258064516,336.158192090396,604.477611940299
"North Ayrshire",172.307692307692,236.216216216216,204.615384615385,238.172043010753,381.914893617021
"Inverclyde",89.8701298701299,100.252525252525,91.3214990138067,95.1271186440678,426.25
"Midlothian",Inf,Inf,184.536082474227,138.376383763838,189.142857142857
"Dumfries and Galloway",1400,1252.94117647059,1818.18181818182,2500,Inf
"East Renfrewshire",159.722222222222,174.093264248705,181.592039800995,267.532467532468,1256.25
"West Lothian",Inf,Inf,Inf,Inf,Inf
"Orkney Islands",121.818181818182,89.9328859060403,90.6666666666667,89.873417721519,228.985507246377
"Angus",3166.66666666667,Inf,39.6011396011396,35.4131534569983,190
"Na h-Eileanan an Iar",283.333333333333,276.595744680851,155.405405405405,166.197183098592,575
"West Dunbartonshire",Inf,Inf,Inf,Inf,Inf
"Clackmannanshire",NA,NA,130.30303030303,147.368421052632,216.666666666667
"Shetland Islands",133.333333333333,85.7142857142857,253.846153846154,106.593406593407,192.307692307692
"North Lanarkshire",NA,NA,NA,NA,NA
"Total",48.4057304091938,49.4791135294451,46.9566592135872,46.9040982799614,104.503766786767
