"auth.name","2014","2015","2016","2017","2018"
"Blaenau Gwent",679.627367928696,1134.79333333333,2887.25,1599.66568468439,818.118734177215
"Caerphilly",72.506241331484,72.9216524216524,97.4577777777778,85.8137297851808,43.8499139314793
"Torfaen",525,1720,580,2050,1916.66666666667
"Rhondda Cynon Taf",61.3172067231732,61.5293156266097,59.8400624737044,83.1009618472753,-5.22249849693798
"Vale of Glamorgan",80.8375634517766,84.2565597667638,82.7225130890052,93.0800542740841,-12.5154894671623
"Neath Port Talbot",87.5502008032128,84.8631513772069,91.3967480266269,88.7825245786447,-10.4458048305811
"Newport",89.6070945292867,78.5397181802611,98.5274754008548,48.321540428468,-27.913123844732
"Bridgend",91.2231529091021,81.0090171325518,73.8383679811829,78.0404992987229,-16.8727664268775
"Merthyr Tydfil",87.4464147578323,75.1798602858054,82.9278083884353,70.3771625868172,-40.911138477019
"Isle of Anglesey",65.5701754385965,64.4359464627151,59.1735537190083,54.9295774647887,-44.4281524926686
"Flintshire",101.844244034612,196.353465267571,121.251009331114,118.842549613775,-44.5713461597131
"Wrexham",55.5037094267981,64.7509104026346,86.0337728172862,72.9794835667251,-37.7322618911529
"Denbighshire",61.3109512390088,64.7692307692308,61.5328227782172,69.4026317906277,-29.3944869574747
"Ceredigion",71.7335996571863,98.3815501821457,53.091649047863,53.7635448182776,-45.9288974569784
"Monmouthshire",40.7636547430919,34.4842001842532,38.9948646796781,43.7065807632012,-53.8358300438187
"Pembrokeshire",67.6528599605523,67.3022994952328,68.0235672201393,68.8413361169102,-36.953520478601
"Powys",54.8789435069699,47.6279650436954,46.8527315914489,49.7056155994993,-51.1141366035592
"Carmarthenshire",71.9458768653933,55.1193772812753,57.0606055999708,69.6818654474957,-33.2102897255407
"Conwy",53.548252985093,43.8898096865082,47.3287665216221,50.1279495241623,-52.48395435186
"Gwynedd",54.2673902318698,44.5232466509062,45.5823293172691,45.5691217014573,-57.9162031887282
"Swansea",62.2703538967318,55.894234300404,56.4595834804095,52.0376247952884,-47.0167117451104
"Cardiff",50.3478260869565,51.852858290718,51.8633347467252,55.2113892375464,-45.6734234167169
"Total",64.3252325613668,61.4319280603532,62.6318341809974,62.5387118527192,-38.3615912102113
